Property Melting Point,Property Density,Property Boiling Point,Property Solubility,Property Molar Mass,Name,formula
,,,,,AP26113,C$_{26}$H$_{34}$ClN$_{6}$O$_{2}$P
,,,,,Fenspiride,C$_{15}$H$_{20}$N$_{2}$O$_{2}$
,,,,,Brivanib alaninate,
183,,,0.005% (22.2$^{\circ}$C),236.74,Hexachloroethane,C$_{2}$Cl$_{6}$
144-148,1.255,,,216.308,Diphenylsilanediol,C$_{12}$H$_{12}$O$_{2}$Si
,,,,,Technetium (99mTc) sestamibi,
,,,,,Amfepramone,C$_{13}$H$_{19}$NO
170,,,,,AL-34662,C$_{10}$H$_{13}$N$_{3}$O
,,,,,Tubocurarine chloride,
,,,,,Penciclovir,C$_{10}$H$_{15}$N$_{5}$O$_{3}$
62.5,,160,"in water (>850 g/L), alcohols and ketones",,Isosorbide,C$_{6}$H$_{10}$O$_{4}$
,1.19,,decompose,,Methylenetriphenylphosphorane,C$_{19}$H$_{17}$P
,,,,,Para-Nitrophenylphosphate,C$_{6}$H$_{6}$NO$_{6}$P
,,,,,Iclazepam,C$_{21}$H$_{21}$ClN$_{2}$O$_{2}$
1128,,,insoluble,301.62,Sodium metatitanate,Na$_{2}$Ti$_{3}$O$_{7}$
,,,,274.26,Afzelechin,C$_{15}$H$_{14}$O$_{5}$
-76.5,,126.7,Decomposes,,Vanadium oxytrichloride,VOCl$_{3}$
,,,0.2% (20$^{\circ}$C),,Propoxur,C$_{11}$H$_{15}$NO$_{3}$
,,,,,Phenylethylidenehydrazine,C$_{8}$H$_{10}$N$_{2}$
,,,,,Modafinil,C$_{15}$H$_{15}$NO$_{2}$S
,,,,around 420,Sodium laureth sulfate,CH$_{3}$(CH$_{2}$)$_{11}$(OCH$_{2}$CH$_{2}$)$_{n}$OSO$_{3}$Na
770,2.672,,31.2,342.15,Aluminium sulfate,Al$_{2}$(SO$_{4}$)$_{3}$
,,,,,Org 12962,
,,,,,Metfendrazine,C$_{10}$H$_{16}$N$_{2}$
,,,,,Methandrostenolone,C$_{20}$H$_{28}$O$_{2}$
,,,,,CL-218 872,
,,,,,Oxazolam,C$_{18}$H$_{17}$ClN$_{2}$O$_{2}$
192,,,,,Ethylene diurea,C$_{4}$H$_{10}$N$_{4}$O$_{2}$
,,$\alpha$: 281-282,,,Guaiene,C$_{15}$H$_{24}$
,,,,,C-8813,C$_{20}$H$_{26}$BrNOS
2865,10.97,,insoluble,270.03,Uranium dioxide,UO$_{2}$
,,,,1229.3,Digitonin,C$_{56}$H$_{92}$O$_{29}$
,,,,,Protriptyline,C$_{19}$H$_{21}$N
,,,,,F-2 (psychedelic),
,,,,448.37,Astragalin,C$_{21}$H$_{20}$O$_{11}$
,,,Miscible,,N-Propyl iodide,C$_{3}$H$_{7}$I
,,,,,Dicycloverine,C$_{19}$H$_{35}$NO$_{2}$
,,,,348.866,NNC 38-1049,C$_{19}$H$_{25}$ClN$_{2}$O$_{2}$
,1.19,112,,,Polyvinyl acetate,(C$_{4}$H$_{6}$O$_{2}$)$_{n}$
,,,,,Setiptiline,C$_{19}$H$_{19}$N
430,,,,175.6,Tellurium trioxide,TeO$_{3}$
decomposes at 60,2.09,,,571.858,Tetracobalt dodecacarbonyl,Co$_{4}$(CO)$_{12}$
,,370.6,Slightly soluble in cold water,,Tetrahydroxy-1 4-benzoquinone,C$_{6}$H$_{4}$O$_{6}$
,,,,,Methylketobemidone,C$_{14}$H$_{19}$NO$_{2}$
93,,250,Freely soluble,96.11,Sulfamide,H$_{4}$N$_{2}$O$_{2}$S
43.8,1.007,297.9,37,,Lauric acid,C$_{12}$H$_{24}$O$_{2}$
,1.1403,95,Decomposes,108.52,Ethyl chloroformate,C$_{3}$H$_{5}$ClO$_{2}$
,,,,,Bifonazole,C$_{22}$H$_{18}$N$_{2}$
414,3.685,,9.16,194.91,Caesium nitrate,CsNO$_{3}$
,,,,,Calphostin C,C$_{44}$H$_{38}$O$_{14}$
,,,,,HZ-2,C$_{23}$H$_{26}$N$_{4}$O$_{5}$
,,,,,ITI-007,C$_{24}$H$_{28}$FN$_{3}$O
,,,,,Fotemustine,C$_{9}$H$_{19}$ClN$_{3}$O$_{5}$P
-164.85,,-92.5,Reacts,,Diborane,H$_{6}$B$_{2}$
,,,,,Etoxadrol,C$_{16}$H$_{23}$NO$_{2}$
,,,,,Rapastinel,C$_{18}$H$_{31}$N$_{5}$O$_{6}$
,,,,,Antazoline,C$_{17}$H$_{19}$N$_{3}$
,0.955,102-104,hydrolysis,,Methyltrimethoxysilane,C$_{4}$H$_{12}$O$_{3}$Si
,,532,,,Damnacanthal,C$_{16}$H$_{10}$O$_{5}$
,,,,316.43,Pachyphyllone,C$_{20}$H$_{28}$O$_{3}$
,,,,,Halazepam,C$_{17}$H$_{12}$ClF$_{3}$N$_{2}$O
300,,,,,Creatinine,C$_{4}$H$_{7}$N$_{3}$O
,,,,,Pimobendan,C$_{19}$H$_{18}$N$_{4}$O$_{2}$
,,,,,Ortataxel,C$_{44}$H$_{57}$NO$_{17}$
,,,,,Tris(dimethylamino)aluminium dimer,C$_{12}$H$_{36}$Al$_{2}$N$_{6}$
,,,,,Methylprednisolone aceponate,
,,,,320.21,Luteic acid,C$_{14}$H$_{8}$O$_{9}$
,,,,,Magnesium pidolate,
,,,,,Tadocizumab,C$_{2107}$H$_{3252}$N$_{562}$O$_{673}$S$_{12}$
150-155,,,soluble,155.15,Cupferron,C$_{6}$H$_{9}$N$_{3}$O$_{2}$
,,,,,Ditazole,C$_{19}$H$_{20}$N$_{2}$O$_{3}$
,,,,252.1866,Arsenic pentachloride,AsCl$_{5}$
,,,,286.28,Coeloginanthrin,C$_{16}$H$_{14}$O$_{5}$
,,,,,Festinavir,C$_{12}$H$_{12}$N$_{2}$O$_{4}$
,,,,,Orlistat,C$_{29}$H$_{53}$NO$_{5}$
,,,insoluble in water,174.71,Nickel chromate,NiCrO$_{4}$
154.5-157,,,,,SCH-50911,C$_{8}$H$_{15}$NO$_{3}$
,,,,,Deoxyadenosine,C$_{10}$H$_{13}$N$_{5}$O$_{3}$
,,,,,Propiram,C$_{16}$H$_{25}$N$_{3}$O
,,,,,Octadecylphosphonic acid,C$_{18}$H$_{39}$O$_{3}$P
,,,,,Curium(III) oxide,Cm$_{2}$O$_{3}$
,,,,,Amylose,variable
,,,,342.44,Sucrononic acid,C$_{19}$H$_{26}$N$_{4}$O$_{2}$
432,,1502,0.14,187.77,Silver bromide,AgBr
35,0.905,163.7,,102.132,Pivalic acid,C$_{5}$H$_{10}$O$_{2}$
2002,3.7,,,119.68,Strontium sulfide,SrS
,,,,,Premarin,C$_{18}$H$_{20}$O$_{2}$
,,,,,Zonisamide,C$_{8}$H$_{8}$N$_{2}$O$_{3}$S
,,,,,Hypromellose,variable
,,,,,Insulin glulisine,
,,,,,RB-101,C$_{31}$H$_{38}$N$_{2}$O$_{3}$S$_{3}$
,,,,,Cromakalim,C$_{16}$H$_{18}$N$_{2}$O$_{3}$
,,,,,Levomoramide,C$_{25}$H$_{32}$N$_{2}$O$_{2}$
1,,237.7,insoluble,150.217,Carvacrol,C$_{10}$H$_{14}$O
,,,,,Elfazepam,C$_{19}$H$_{18}$ClFN$_{2}$O$_{3}$S
,,,,,Glicaramide,C$_{30}$H$_{42}$N$_{6}$O$_{5}$S
,,,,,P-Phenylenediamine,C$_{6}$H$_{8}$N$_{2}$
,,,,,Fludroxycortide,C$_{24}$H$_{33}$FO$_{6}$
,,,,,Pranoprofen,C$_{15}$H$_{13}$NO$_{3}$
,,,,,Sumatriptan,C$_{14}$H$_{21}$N$_{3}$O$_{2}$S
98,1.163,,,,Aspergillic acid,C$_{12}$H$_{20}$N$_{2}$O$_{2}$
,,,,,Hydralazine,C$_{8}$H$_{8}$N$_{4}$
,,,,,Diiodohydroxyquinoline,C$_{9}$H$_{5}$I$_{2}$NO
,,,,,Pristinamycin IIA,
,,,,,Hydracarbazine,C$_{5}$H$_{7}$N$_{5}$O
,,,Miscible,,Isobutylamine,C$_{4}$H$_{11}$N
,,,,,Lichenin,(C$_{6}$H$_{10}$O$_{5}$)$_{x}$
167.5,1.908,,32.8,,Potassium formate,CHKO$_{2}$
,,,hydrophobic,,JWH-018,C$_{24}$H$_{23}$NO
,,,,,Chartreusin,C$_{32}$H$_{32}$O$_{14}$
250,3.056,,anhydrous:,,Iron(III) phosphate,FePO$_{4}$
,,,,578.52,Rhoifolin,C$_{27}$H$_{30}$O$_{14}$
150,,,Practically insoluble in water,,Levopimaric acid,C$_{20}$H$_{30}$O$_{2}$
,,,,,SoRI-9409,C$_{29}$H$_{27}$ClN$_{2}$O$_{3}$
,,,,,Tegaserod,C$_{16}$H$_{23}$N$_{5}$O
,,,,,SKF-89 145,
54,,100,0.36,,Beryllium carbonate,BeCO$_{3}$
237-243,,,,364.45,Cetrimonium bromide,C$_{19}$H$_{42}$BrN
,,,,,Monoxerutin,C$_{29}$H$_{34}$O$_{17}$
,,,Very soluble,,Threose,C$_{4}$H$_{8}$O$_{4}$
-76.5,0.846,104,18% (20$^{\circ}$C),,Crotonaldehyde,C$_{4}$H$_{6}$O
,,,,467.43,Chlornaltrexamine,C$_{24}$H$_{32}$Cl$_{2}$N$_{2}$O$_{3}$
766,6.78,,,618.74232,Uranium triiodide,UI$_{3}$
,1.8,,,,Potassium fulminate,CKNO
,,,1.893,,Fructone,C$_{8}$H$_{14}$O$_{4}$
,,,,,Serinolamide A,
,,,,,Norpropoxyphene,C$_{34}$H$_{65}$N$_{3}$O$_{5}$S
,,,,835.61,Methacrylyl-CoA,C$_{25}$H$_{40}$N$_{7}$O$_{17}$P$_{3}$S
195,,,,,Dimazole,C$_{15}$H$_{23}$N$_{3}$OS
,,,,290.26,Mesquitol,C$_{15}$H$_{14}$O$_{6}$
,,,,,Pyrethrin II,C$_{22}$H$_{28}$O$_{5}$
,,,,,Furazolidone,C$_{8}$H$_{7}$N$_{3}$O$_{5}$
,,,,,Avibactam,chemical_formulaC$_{7}$H$_{11}$N$_{3}$O$_{6}$S
,,,,745.647,Uranium tetraiodide,UI$_{4}$
,,,,,JQ1,C$_{23}$H$_{25}$ClN$_{4}$O$_{2}$S
,,,,,Loracarbef,C$_{16}$H$_{16}$ClN$_{3}$O$_{4}$
,,,,,Butyl iodide,C$_{4}$H$_{9}$I
,,,,198.176,GV (nerve agent),C$_{6}$H$_{16}$FN$_{2}$O$_{2}$P
222,,,,,Solanocapsine,C$_{27}$H$_{46}$N$_{2}$O$_{2}$
-48,0.94,101,1.5,,Methyl methacrylate,C$_{5}$H$_{8}$O$_{2}$
103-106,,,,,Poly(ethylene succinate),(C$_{6}$H$_{8}$O$_{4}$)$_{n}$
,,,,,Fentanyl,C$_{22}$H$_{28}$N$_{2}$O
,,,,,Tolpropamine,C$_{18}$H$_{23}$N
-14,,187,"Miscible, reacts",,Glutaraldehyde,C$_{5}$H$_{8}$O$_{2}$
,,,,,O-774,C$_{25}$H$_{35}$NO$_{2}$
,,,Soluble (Hydrolysis),,Zirconocene dichloride,C$_{10}$H$_{10}$ZrCl$_{2}$
,,,,,Polidocanol,C$_{30}$H$_{62}$O$_{10}$
,,,,610.703,Endomorphin-1,C$_{34}$H$_{38}$N$_{6}$O$_{5}$
,,,,,MDMAT,C$_{12}$H$_{15}$NO$_{2}$
,,,,,Rentiapril,C$_{13}$H$_{15}$NO$_{4}$S$_{2}$
-84.7,,117,1.91,100.16,Methyl isobutyl ketone,C$_{6}$H$_{12}$O
,,,,360.44,Roxibolone,C$_{21}$H$_{28}$O$_{5}$
2415,,3900,,,Holmium(III) oxide,Ho$_{2}$O$_{3}$
26,1.099,242,,,Isoquinoline,C$_{9}$H$_{7}$N
,,,,,Cloricromen,C$_{20}$H$_{26}$ClNO$_{5}$
,,,,,Prothionamide,C$_{9}$H$_{12}$N$_{2}$S
,,,0.96,344.36,Rhodotorulic acid,C$_{14}$H$_{24}$N$_{4}$O$_{6}$
9.43,3.25,97.85,Reacts,221.89,Iodine pentafluoride,IF$_{5}$
,,,,,GRN-529,C$_{22}$H$_{15}$F$_{2}$N$_{3}$O$_{2}$
,,,,,Mecillinam,C$_{15}$H$_{23}$N$_{3}$O$_{3}$S
,,,,202.199,Xenon dichloride,XeCl$_{2}$
,,,polar organic solvents,,Knolker complex,C$_{17}$H$_{28}$FeO$_{3}$Si$_{2}$
,,,,,Ioxilan,C$_{18}$H$_{24}$I$_{3}$N$_{3}$O$_{8}$
,,,,,Tiaprofenic acid,
,,,insoluble,,Carbon monosulfide,CS
,,,,,Carmofur,C$_{11}$H$_{16}$FN$_{3}$O$_{3}$
164,1.585,,Soluble,150.13,Arabinose,C$_{5}$H$_{10}$O$_{5}$
,0.867,168-169,,136.24,Carene,C$_{10}$H$_{16}$
,,,,650.9,Iron(III) acetate,C$_{14}$H$_{27}$Fe$_{3}$O$_{18}$
32-33,,,,198.31,Vetivazulene,C$_{15}$H$_{18}$
,,,,,Proxorphan,C$_{19}$H$_{25}$NO$_{2}$
254,4.7,,68,303.325,Gold(III) chloride,AuCl$_{3}$
,,,,,JWH-175,C$_{24}$H$_{25}$N
,,,,212.19,Danielone,C$_{10}$H$_{12}$O$_{5}$
,,,,,Polyfluorene,(C$_{13}$H$_{8}$)$_{n}$
,,,,,Iopydol,C$_{8}$H$_{9}$I$_{2}$NO$_{3}$
,,,,336.4,Californidine,C$_{21}$H$_{22}$NO$^{+}_{3}$
,,460.9,26,,Paclobutrazol,C$_{15}$H$_{20}$ClN$_{3}$O
62-65,,121-127,,138.12,Sesamol,C$_{7}$H$_{6}$O$_{3}$
400.9,2.658,,Soluble,222.12,Sodium pyrosulfate,Na$_{2}$S$_{2}$O$_{7}$
203.5,,,12,,Cellobiose,C$_{12}$H$_{22}$O
,,,,,Emtricitabine,C$_{8}$H$_{10}$FN$_{3}$O$_{3}$S
,,,,,Cysteine sulfinic acid,C$_{3}$H$_{7}$NO$_{4}$S
,,,,,Meropenem,C$_{17}$H$_{25}$N$_{3}$O$_{5}$S
228-231,,,Insoluble,,Lawesson's reagent,C$_{14}$H$_{14}$O$_{2}$P$_{2}$S$_{4}$
-78,1.155,259,6.1,,Triacetin,C$_{9}$H$_{14}$O$_{6}$
,,,,,LY-293284,C$_{19}$H$_{26}$N$_{2}$O
,,,,,Mofebutazone,C$_{13}$H$_{16}$N$_{2}$O$_{2}$
357,,,Insoluble,228.29,Tetracene,C$_{18}$H$_{12}$
,,,,,Lennoxamine,C$_{20}$H$_{19}$NO$_{5}$
>300,,,soluble,112.1689,Potassium propanoate,C$_{3}$H$_{5}$KO$_{2}$
,,,,,Pukateine,C$_{18}$H$_{17}$NO$_{3}$
254,4.36,364,soluble,492.43,Niobium(V) bromide,NbBr$_{5}$
,,,,,Piberaline,C$_{17}$H$_{19}$N$_{3}$O
,,,,348.48,Lauryl glucoside,C$_{18}$H$_{36}$O$_{6}$
2160,2.22,2300,decomposes,64.099,Calcium carbide,CaC$_{2}$
,,,,274.26,Phloretin,C$_{15}$H$_{14}$O$_{5}$
160,,,Insoluble,,Stigmasterol,C$_{29}$H$_{48}$O
,,,,,Fospropofol,C$_{13}$H$_{19}$Na$_{2}$O$_{5}$P
65,,,,373.94,Methylthioirontricarbonyl dimer,C$_{8}$H$_{6}$Fe$_{2}$O$_{6}$S$_{2}$
,,,,,Hematoporphyrin,C$_{34}$H$_{38}$N$_{4}$O$_{6}$
,,,,,HU-243,C$_{25}$H$_{40}$O$_{3}$
,,,,,Pirbuterol,C$_{12}$H$_{20}$N$_{2}$O$_{3}$
,,,,,Lomitapide,C$_{39}$H$_{37}$F$_{6}$N$_{3}$O$_{2}$
,,,,172.54,Diethyl chlorophosphate,C$_{4}$H$_{10}$ClO$_{3}$P
,,,,253.341,EME (psychedelic),C$_{14}$H$_{23}$NO$_{3}$
2400,7.215,3500,insoluble,172.115,Cerium(IV) oxide,CeO$_{2}$
,,51-53,,,Azocane,C$_{7}$H$_{15}$N
25,1.03,58,,170.31,Grapefruit mercaptan,C$_{10}$H$_{18}$S
,,,,,Dimethyllysergamide,C$_{18}$H$_{21}$N$_{3}$O
,,,,,Medroxyprogesterone acetate,
,1.2,118,0.33,230.28,Demeton-S-methyl,C$_{6}$H$_{15}$O$_{3}$PS$_{2}$
1625,,,insoluble,,Barium titanate,BaTiO$_{3}$
,,,,,Muramyl dipeptide,C$_{19}$H$_{32}$N$_{4}$O$_{11}$
8,0.9,116,miscible,,Ethylenediamine,C$_{2}$H$_{8}$N$_{2}$
,1.064,246,miscible,,DMPU,C$_{6}$H$_{12}$N$_{2}$O
,,,Insoluble in water,120.53,Methyl 2-chloroacrylate,C$_{4}$H$_{5}$ClO$_{2}$
,,,,,Androstadienone,C$_{19}$H$_{26}$O
,,,,,Fenclozic acid,
,,,,,Bethanidine,C$_{10}$H$_{15}$N$_{3}$
,,,0.2,237.28,Ambazone,C$_{8}$H$_{11}$N$_{7}$S
966,2.46,1434,16.4,65.8,Sodium metaborate,NaBO$_{2}$
,,,,,Methylaluminoxane,(Al(CH$_{3}$)$_{x}$O$_{y}$)$_{n}$
,,,,,NS-2359,C$_{15}$H$_{19}$Cl$_{2}$NO
,,,,,Gonane,C$_{17}$H$_{28}$
,,,,,Pargyline,C$_{11}$H$_{13}$N
,,,,,Pigment Yellow 16,C$_{34}$H$_{28}$Cl$_{4}$N$_{6}$O$_{4}$
,,,,,Chlorpromazine,C$_{17}$H$_{19}$ClN$_{2}$S
,,,,,R-30490,C$_{24}$H$_{32}$N$_{2}$O$_{2}$
,,,,,Climazolam,C$_{18}$H$_{13}$Cl$_{2}$N$_{3}$
120,1.88,,58.7,164.14,Hydroxylammonium sulfate,H$_{8}$N$_{2}$O$_{6}$S
,,,,,Neratinib,C$_{30}$H$_{29}$ClN$_{6}$O$_{3}$
,,,,,Mariptiline,C$_{18}$H$_{18}$N$_{2}$O
,3.14,,,,Tricalcium phosphate,Ca$_{3}$O$_{8}$P$_{2}$
,,,,,Neostigmine,C$_{12}$H$_{19}$N$_{2}$O$_{2}$
60.5,1.56,142,166,133.021982,Beryllium nitrate,Be(NO$_{3}$)$_{2}$
,,,,,Obovatol,C$_{18}$H$_{18}$O$_{3}$
1606,3.96,,0.0135,183.68,Strontium sulfate,SrSO$_{4}$
,,,,,Abiraterone,C$_{24}$H$_{31}$NO
190,,,"Soluble in water and propylene glycol, slightly soluble in fat and miscible at room temperature in ethanol",218.188,Lactisole,C$_{10}$H$_{11}$O$_{4}$Na
,,,,,Caplacizumab,C$_{1213}$H$_{1891}$N$_{357}$O$_{380}$S$_{10}$
-40,,80-90,,,Thioacetone,C$_{3}$H$_{6}$S
124-126,,176-177,,,Exo-Norborneol,C$_{7}$H$_{12}$O
,,,,179.171,Mannosamine,C$_{6}$H$_{13}$NO$_{5}$
,,,,,Pridinol,C$_{20}$H$_{25}$NO
181-183,1.287,325,,,Camphorsultam,C$_{10}$H$_{17}$NO$_{2}$S
,,,,,Efavirenz,C$_{14}$H$_{9}$ClF$_{3}$NO$_{2}$
,,16.8,,212,Bismuthine,BiH$_{3}$
,,,,,Isometamidium chloride,
,,,,872.551,Uranium pentaiodide,UI$_{5}$
,,,,,O-4310,C$_{15}$H$_{21}$FN$_{2}$O
360,4.75,,insoluble,386.72,Arsenic triselenide,As$_{2}$Se$_{3}$
,,,,2098.2,Little gastrin I,C$_{97}$H$_{124}$N$_{20}$O$_{31}$S
101,,310,,,Xanthene,C$_{13}$H$_{10}$O
,,,,,Mepirodipine,C$_{27}$H$_{29}$N$_{3}$O$_{6}$
795,3.557,1408,130.6,104.4662,Rubidium fluoride,RbF
,,,,,Azoxystrobin,C$_{22}$H$_{17}$N$_{3}$O$_{5}$
-138,,,reacts,,Chlorotrifluorosilane,SiClF$_{3}$
,,,,378.509,Pleuromutilin,C$_{22}$H$_{34}$O$_{5}$
,,,,,Vilazodone,C$_{26}$H$_{27}$N$_{5}$O$_{2}$
,,,,,Diphemanil metilsulfate,
,,,,290.83,Alpha-Hexachlorocyclohexane,C$_{6}$H$_{6}$Cl$_{6}$
,,,,97.971,Monofluorophosphate,PO$_{3}$F$^{2-}$
,,,,,Bromadoline,C$_{15}$H$_{21}$BrN$_{2}$O
,,,,,CID-16020046,C$_{25}$H$_{19}$N$_{3}$O$_{4}$
,,,,273.28,Thyronine,C$_{15}$H$_{15}$NO$_{4}$
202,1.25,,,,Bromothymol blue,C$_{27}$H$_{28}$Br$_{2}$O$_{5}$S
,,,,,Pyrrolidonyl-$\beta$-naphthylamide,C$_{15}$H$_{14}$N$_{2}$O$_{2}$
,,,,124.1,Hydroxy-1 4-benzoquinone,C$_{6}$H$_{4}$O$_{3}$
2200,2.71,2240,hydrolyzes,55.06,Beryllium nitride,Be$_{3}$N$_{2}$
,,,,,Allopurinol,C$_{5}$H$_{4}$N$_{4}$O
,,,,,Cromoglicic acid,
,,80,Slowly reacts,,Tributyltin hydride,SnC$_{12}$H$_{28}$
,,,,,Prucalopride,C$_{18}$H$_{26}$ClN$_{3}$O$_{3}$
,,,,,Atibeprone,C$_{17}$H$_{18}$N$_{2}$O$_{3}$S
,,,,,Atrasentan,C$_{29}$H$_{38}$N$_{2}$O$_{6}$
,,,,,Pentamycin,C$_{35}$H$_{58}$O$_{12}$
,,,,254.33,Lysergol,C$_{16}$H$_{18}$N$_{2}$O
,,,,,Tipranavir,C$_{31}$H$_{33}$F$_{3}$N$_{2}$O$_{5}$S
,,,,,Niridazole,C$_{6}$H$_{6}$N$_{4}$O$_{3}$S
,,,,,Caffeine citrate,
,,,,,Brincidofovir,C$_{27}$H$_{52}$N$_{3}$O$_{7}$P
,,,,,Pirnabine,C$_{19}$H$_{24}$O$_{3}$
,,,,,Methylphosphonyl difluoride,CH$_{3}$POF$_{2}$
,,,,,Cefmatilen,C$_{15}$H$_{14}$N$_{8}$O$_{5}$S$_{4}$
164,,,,,Bis-tris propane,C$_{11}$H$_{26}$N$_{2}$O$_{6}$
,,,,,PRE-084,C$_{19}$H$_{27}$NO$_{3}$
,,,,,Pheneturide,C$_{11}$H$_{14}$N$_{2}$O$_{2}$
,,,40,,Diazinon,C$_{12}$H$_{21}$N$_{2}$O$_{3}$PS
,,,,,Deoxycytidine diphosphate,C$_{9}$H$_{15}$N$_{3}$O$_{10}$P$_{2}$
,,,,638.39,Gallagic acid,C$_{28}$H$_{14}$O$_{18}$
,,,,,Aclarubicin,C$_{42}$H$_{53}$NO$_{15}$
,,,,,Xamoterol,C$_{16}$H$_{25}$N$_{3}$O$_{5}$
563,,,decomposes,117.8,Boron sulfide,B$_{2}$S$_{3}$
,,,,,Isopromethazine,C$_{17}$H$_{20}$N$_{2}$S
27.2,3.1,97.4,hydrolysis,162.35,Iodine monochloride,ICl
,,,,316.39,Ferujol,C$_{19}$H$_{24}$O$_{4}$
26,1.049,184,,,Sotolon,C$_{6}$H$_{8}$O$_{3}$
,,,,,Daidzin,C$_{21}$H$_{20}$O$_{9}$
146,,,,,Nonactin,C$_{40}$H$_{64}$O$_{12}$
,,,,,Sevoflurane,C$_{4}$H$_{3}$F$_{7}$O
,,,,,Apramycin,C$_{21}$H$_{41}$N$_{5}$O
3390,10,4400,insoluble,264.04,Thorium dioxide,ThO$_{2}$
,,,,,Levormeloxifene,C$_{30}$H$_{35}$NO$_{3}$
780,5.384,,124.2,,Nickel(II) iodide,NiI$_{2}$
,,,,,Naphyrone,C$_{19}$H$_{23}$NO
,,,,,Thiane,C$_{5}$H$_{10}$S
163-164.8,,,,136.234,Twistane,C$_{10}$H$_{16}$
,,,,,Desipramine,C$_{18}$H$_{22}$N$_{2}$
,,,,242.26,Leucoanthocyanidin,C$_{15}$H$_{14}$O$_{3}$
,,,,1023.2,Calyculin,C$_{51}$H$_{83}$N$_{4}$O$_{15}$P(CAl$_{y}$CuLiNC)
,,,,239.31,Asymbescaline,C$_{13}$H$_{21}$NO$_{3}$
,,,,,Flunixin,C$_{14}$H$_{11}$F$_{3}$N$_{2}$O$_{2}$
80,,306,,,Behenic acid,C$_{22}$H$_{44}$O$_{2}$
,,,,,Himbacine,C$_{22}$H$_{35}$NO$_{2}$
351,,,,,Paraxanthine,C$_{7}$H$_{8}$N$_{4}$O$_{2}$
,,,,,SB-258719,C$_{18}$H$_{32}$N$_{2}$O$_{2}$S
,,,,,Dihydrocodeine,C$_{18}$H$_{23}$NO$_{3}$
,,,,176.215,Serotonin,C$_{10}$H$_{12}$N$_{2}$O
106,,,,,Digitalose,C$_{7}$H$_{14}$O$_{5}$
,,,,,Trefentanil,C$_{25}$H$_{31}$FN$_{6}$O$_{2}$
,,,,,Pyrrobutamine,C$_{20}$H$_{22}$ClN
269-271,,,,,Iridium acetylacetonate,IrC$_{15}$H$_{21}$O$_{6}$
,,,,,Zinc ricinoleate,C$_{36}$H$_{66}$O$_{6}$Zn
,,,,,Dithionate,O$_{6}$S$^{2-}_{2}$
,,,,,Mellitic anhydride,C$_{12}$O$_{9}$
266-268,,,,448.37,Cynaroside,C$_{21}$H$_{20}$O$_{11}$
1069,2.66,1689,111,174.259,Potassium sulfate,K$_{2}$SO$_{4}$
,,,,,Esmirtazapine,C$_{17}$H$_{19}$N$_{3}$
,,,,,Sibopirdine,C$_{23}$H$_{18}$N$_{4}$
,,,,,Imiglucerase,C$_{2532}$H$_{3854}$N$_{672}$O$_{711}$S$_{16}$
-126.3,0.77,101,Insoluble in water,,Methylcyclohexane,C$_{7}$H$_{14}$
136-138,,,887,,Picolinic acid,C$_{6}$H$_{5}$NO$_{2}$
,,,,,Selank,C$_{33}$H$_{57}$N$_{11}$O$_{9}$
1460,5.59,,insoluble,133.9,Manganese(II) selenide,MnSe
,,,,,Gadodiamide,C$_{16}$H$_{28}$GdN$_{5}$O$_{9}$
,,,,,Naltrindole,C$_{26}$H$_{26}$N$_{2}$O$_{3}$
55,,,,,Hydroxydanaidal,C$_{8}$H$_{9}$NO$_{2}$
,,,,,Dihydrotestosterone,C$_{19}$H$_{30}$O$_{2}$
,,,,,Testolactone,C$_{19}$H$_{24}$O$_{3}$
195,,,,,Chlorohydridobis(bis-1 2-(diphenylphosphino)ethane)iron(II),C$_{52}$H$_{49}$P$_{4}$ClFe
,,,,,Fresolimumab,C$_{6392}$H$_{9926}$N$_{1698}$O$_{2026}$S$_{44}$
109-112,,230,,278.7754,Triphenylmethyl chloride,C$_{19}$H$_{15}$Cl
109-113,,,,,TosMIC,C$_{9}$H$_{9}$NO$_{2}$S
,,,,,Ticlopidine,C$_{14}$H$_{14}$ClNS
,,,,,Nitromemantine,C$_{14}$H$_{24}$N$_{2}$O$_{3}$
558,,1506,3x10$^{-7}$,234.77,Silver iodide,AgI
310,,,,123.11,Isonicotinic acid,C$_{6}$H$_{5}$NO$_{2}$
,,235,,,Benzylacetone,C$_{10}$H$_{12}$O
,,,,,Dimethoxymethamphetamine,C$_{12}$H$_{19}$NO$_{2}$
,,,Soluble (Hydrolysis),252.03,Vanadocene dichloride,C$_{10}$H$_{10}$Cl$_{2}$V
,,,,,Butanilicaine,C$_{13}$H$_{19}$ClN$_{2}$O
,,,,,Flibanserin,C$_{20}$H$_{21}$F$_{3}$N$_{4}$O
,,,,,Trimipramine,C$_{20}$H$_{26}$N$_{2}$
,,,good,,Cis-Dichlorobis(ethylenediamine)cobalt(III) chloride,C$_{4}$H$_{16}$Cl$_{3}$CoN$_{4}$
ca.-40,,ca. 130,Practically insoluble,,Cyclohexene oxide,C$_{6}$H$_{10}$O
,,,,253.34,EEM (psychedelic),C$_{14}$H$_{23}$NO$_{3}$
,,,,,Tenidap,C$_{14}$H$_{9}$ClN$_{2}$O$_{3}$S
,,,reacts with water,291.71,Molybdenum(IV) fluoride,MoF$_{4}$
